fid,ID_UNICO,nome_1KM,nome_5KM,nome_10KM,nome_50KM,nome_100KM,nome_500KM,QUADRANTE,MASC,FEM,POP,DOM_OCU,area,perimeter,xcoord,ycoord
"4730",1KME6959N10373,1KME6959N10373,5KME6955N10370,10KME6950N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"11","10","21","3",1001872.90270996,4004.07377148328,-35.9807199275057,-8.10870180926564
"4731",1KME6959N10374,1KME6959N10374,5KME6955N10370,10KME6950N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"45","42","87","23",1001874.07434082,4004.07555372351,-35.9813113993789,-8.0997927481723
"4732",1KME6959N10375,1KME6959N10375,5KME6955N10375,10KME6950N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"43","39","82","24",1001875.22131348,4004.07728593892,-35.9819028327727,-8.09088358563564
"4733",1KME6959N10376,1KME6959N10376,5KME6955N10375,10KME6950N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",947206.16796875,3810.72699743126,-35.9826796761985,-8.08219349197961
"4734",1KME6959N10377,1KME6959N10377,5KME6955N10375,10KME6950N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",127992.126708984,1761.79866633564,-35.9854975206431,-8.07649812265696
"4735",1KME6960N10364,1KME6960N10364,5KME6960N10360,10KME6960N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"2","0","2","1",1001845.77270508,4004.02452500826,-35.9662218135721,-8.18830394810588
"4736",1KME6960N10365,1KME6960N10365,5KME6960N10365,10KME6960N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"950","985","1935","552",1001847.06274414,4004.02654814701,-35.9668139343253,-8.17939580192831
"4737",1KME6960N10366,1KME6960N10366,5KME6960N10365,10KME6960N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"4","3","7","1",1001848.22717285,4004.02832258798,-35.9674060165608,-8.17048755594524
"4738",1KME6960N10367,1KME6960N10367,5KME6960N10365,10KME6960N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"1","1","2","1",1001849.3079834,4004.02992893866,-35.9679980598909,-8.16157921065927
"4739",1KME6960N10368,1KME6960N10368,5KME6960N10365,10KME6960N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",1001850.57067871,4004.03189508116,-35.9685900641247,-8.15267076507828
"4740",1KME6960N10369,1KME6960N10369,5KME6960N10365,10KME6960N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"2","3","5","3",1001851.70581055,4004.0336119006,-35.9691820296635,-8.14376221969316
"4741",1KME6960N10370,1KME6960N10370,5KME6960N10370,10KME6960N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",1001852.91833496,4004.03547799847,-35.9697739562397,-8.13485357417664
"4742",1KME6960N10371,1KME6960N10371,5KME6960N10370,10KME6960N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"17","11","28","8",1001854.1060791,4004.03729410762,-35.970365844145,-8.12594482793606
"4743",1KME6960N10372,1KME6960N10372,5KME6960N10370,10KME6960N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"9","8","17","4",1001855.22155762,4004.03896709293,-35.970957693303,-8.11703598118662
"4744",1KME6960N10373,1KME6960N10373,5KME6960N10370,10KME6960N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"2","2","4","1",1001856.40637207,4004.04077564536,-35.9715495034936,-8.10812703373237
"4745",1KME6960N10374,1KME6960N10374,5KME6960N10370,10KME6960N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"72","69","141","35",1001857.62646484,4004.04265348889,-35.9721412749367,-8.09921798486992
"4746",1KME6960N10375,1KME6960N10375,5KME6960N10375,10KME6960N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"67","64","131","40",999620.229003906,3964.6213499199,-35.9727421495758,-8.09031901044384
"4747",1KME6960N10376,1KME6960N10376,5KME6960N10375,10KME6960N10370,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"154","156","310","99",332580.218139648,2806.46382856393,-35.9748336719682,-8.08389187864104
"4748",1KME6961N10350,1KME6961N10350,5KME6960N10350,10KME6960N10350,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"2","1","3","1",1001812.96582031,4003.96658519684,-35.9487507680326,-8.31243231194609
"4749",1KME6961N10362,1KME6961N10362,5KME6960N10360,10KME6960N10360,50KME6950N10350,100KME6900N10350,500KME6800N10350,ID_68,"42","40","82","26",1001827.04223633,4003.9881657674,-35.9558637763613,-8.20554473811191
